Category,Chapter,Sentence No,Matched Pattern,Sentence,Score
Assets vs Liabilities,2,1243,keyword,"As their assets grow, how do they measure the extent of their",3
Wealth Creation,2,1243,keyword,"As their assets grow, how do they measure the extent of their",4
Assets vs Liabilities,2,1245,keyword,"As well as having my own definitions for assets and liabilities,",3
Wealth Creation,2,1246,keyword,I also have my own definition for wealth.,4
Wealth Creation,2,1248,keyword,"the application, Fuller also said something about wealth.",4
Wealth Creation,2,1250,keyword,Wealth is a persons ability to survive so many number of days,4
Assets vs Liabilities,2,1252,keyword,"Unlike net worththe difference between your assets and liabilities,",3
Assets vs Liabilities,2,1257,keyword,"Although net worth often includes noncashproducing assets, like",3
Wealth Creation,2,1258,keyword,"stuff you bought that now sits in your garage, wealth measures how",4
Money Concept,2,1259,keyword,"much money your money is making and, therefore, your financial",2
Financial Lesson Explanation,2,1259,Cause–Effect Explanation,"much money your money is making and, therefore, your financial",5
Assets vs Liabilities,2,1260,keyword,Wealth is the measure of the cash flow from the asset column,3
Wealth Creation,2,1260,keyword,Wealth is the measure of the cash flow from the asset column,4
Assets vs Liabilities,2,1261,keyword,Lets say I have cash flow from my asset,3
Assets vs Liabilities,2,1264,keyword,"When I achieve 2,000 a month cash flow from my assets, then",3
Assets vs Liabilities,2,1266,keyword,generated from assets each month that fully cover my monthly,3
Financial Lesson Explanation,2,1267,Advice / Principle,"If I want to increase my expenses, I first must increase my",5
Wealth Creation,2,1268,keyword,cash flow to maintain this level of wealth.,4
Assets vs Liabilities,2,1270,keyword,"and been successful in, building an asset column that has made me",3
Assets vs Liabilities,2,1272,keyword,cover my monthly expenses with the cash flow from my assets.,3
Assets vs Liabilities,2,1274,keyword,"into my asset column, the more my asset column grows.",3
Assets vs Liabilities,2,1275,keyword,"my assets grow, the more my cash flow grows.",3
Wealth Creation,2,1275,keyword,"my assets grow, the more my cash flow grows.",4
Assets vs Liabilities,2,1276,keyword,"expenses less than the cash flow from these assets, I grow richer with",3
Wealth Creation,2,1276,keyword,"expenses less than the cash flow from these assets, I grow richer with",4
Money Concept,2,1277,keyword,more and more income from sources other than my physical labor.,2
Assets vs Liabilities,2,1279,keyword,The middle class buy liabilities they think are assets.,3
Assets vs Liabilities,3,1282,keyword,The rich focus on their asset columns while,3
Money Concept,3,1315,keyword,"will revolve around their wages or, as described earlier, their income",2
Money Concept,3,1318,keyword,skills allow them to enter the workforce and work for money.,2
Assets vs Liabilities,3,1330,keyword,"Your business revolves around your asset column, not your",3
Assets vs Liabilities,3,1332,keyword,"the difference between an asset and a liability, and to buy assets.",3
Assets vs Liabilities,3,1333,keyword,"The rich focus on their asset columns, while everyone else focuses on",3
Money Concept,3,1336,keyword,focus on the income column and will only help a person become more,2
Money Concept,3,1337,keyword,financially secure if the additional money is used to purchase incomegenerating assets.,2
Assets vs Liabilities,3,1337,keyword,financially secure if the additional money is used to purchase incomegenerating assets.,3
Assets vs Liabilities,3,1341,keyword,"workers found out their largest socalled asset, their home, was eating",3
Money Concept,3,1342,keyword,Their asset was costing them money every month.,2
Assets vs Liabilities,3,1342,keyword,Their asset was costing them money every month.,3
Assets vs Liabilities,3,1345,keyword,assets could not help them survive in a time of financial crisis.,3
Financial Lesson Explanation,3,1348,Cause–Effect Explanation,section because of what accepted banking and accounting practices,5
Assets vs Liabilities,3,1352,keyword,personal effects to boost the number in the asset column.,3
Investment Advice,3,1353,keyword,But I was turned down because I had too much investment real,3
Financial Lesson Explanation,3,1353,Cause–Effect Explanation,But I was turned down because I had too much investment real,5
Money Concept,3,1354,keyword,The loan committee didnt like that I made so much money,2
Financial Lesson Explanation,3,1360,Cause–Effect Explanation,"reasons net worth is not accurate is simply because, the moment you",5
Assets vs Liabilities,3,1361,keyword,"begin selling your assets, you are taxed for any gains.",3
Assets vs Liabilities,3,1363,keyword,But their personal assets can generally be sold for only a fraction of,3
Assets vs Liabilities,3,1365,keyword,"a gain on the sale of the assets, they are taxed on the gain.",3
Assets vs Liabilities,3,1368,keyword,"start buying real assets, not liabilities or personal effects that have no",3
Assets vs Liabilities,3,1370,keyword,not a true asset even if your banker lets you list it as one.,3
Assets vs Liabilities,3,1372,keyword,"Keep expenses low, reduce liabilities, and diligently build a base of",3
Wealth Creation,3,1372,keyword,"Keep expenses low, reduce liabilities, and diligently build a base of",4
Assets vs Liabilities,3,1374,keyword,for parents to teach them the difference between an asset and a liability.,3
Assets vs Liabilities,3,1375,keyword,"Get them to start building a solid asset column before they leave home,",3
Money Concept,3,1382,keyword,begin to scramble to put some money away.,2
Assets vs Liabilities,3,1384,keyword,So what kind of assets am I suggesting that you or your children,3
Assets vs Liabilities,3,1385,keyword,"In my world, real assets fall into the following categories",3
Money Concept,3,1389,keyword,"Anything else that has value, produces income or appreciates,",2
Assets vs Liabilities,3,1391,keyword,But my rich dad encouraged me to begin acquiring assets that I loved.,3
Financial Lesson Explanation,3,1395,Cause–Effect Explanation,"I also love stocks of small companies, especially startups, because",5
Investment Advice,3,1403,keyword,"Start minding your own investment is, understand it, and know",3
Investment Advice,3,1404,keyword,"daytime job, but start investment strategy is to be out of the",3
Financial Lesson Explanation,3,1406,Cause–Effect Explanation,"and, therefore, delay paying taxes on the gain.",5
Assets vs Liabilities,3,1410,keyword,I was active in my asset column trading real,3
Wealth Creation,3,1420,keyword,"When I say mind your own business, I mean to build and keep",4
Assets vs Liabilities,3,1422,keyword,"Think of it this way Once a dollar goes into your asset column, it",3
Money Concept,3,1423,keyword,The best thing about money is that it works,2
Assets vs Liabilities,3,1425,keyword,"great hardworking employee, but keep building that asset column.",3
Financial Lesson Explanation,3,1430,Cause–Effect Explanation,"jewelry, or boats because they want to look rich.",5
Assets vs Liabilities,3,1432,keyword,"people, the longterm rich, build their asset column first.",3
Wealth Creation,3,1432,keyword,"people, the longterm rich, build their asset column first.",4
Money Concept,3,1433,keyword,income generated from the asset column buys their luxuries.,2
Assets vs Liabilities,3,1433,keyword,income generated from the asset column buys their luxuries.,3
Money Concept,3,1436,keyword,"For example, when my wife Kim and I had extra money",2
Financial Lesson Explanation,3,1438,Cause–Effect Explanation,It didnt take any extra work or risk on her part because,5
Investment Advice,3,1439,keyword,four years while the real estate investment portfolio grew and began,3
Financial Lesson Explanation,3,1441,Cause–Effect Explanation,"the Mercedes, was a true reward because she proved she knew how to",5
Financial Lesson Explanation,3,1446,Cause–Effect Explanation,resent that luxury because the debt becomes a financial burden.,5
Financial Lesson Explanation,4,1457,Advice / Principle,should pay more in taxes and give it to the poor.,5
Financial Lesson Explanation,4,1460,Cause–Effect Explanation,The reason the middle class is so heavily taxed is because of the,5
Financial Lesson Explanation,4,1463,Advice / Principle,"Again, to understand fully how things happen, we need to look",5
Money Concept,4,1470,keyword,"In 1874, England made income tax a permanent levy on its citizens.",2
Money Concept,4,1471,keyword,"In 1913, an income tax became permanent in the United States with",2
Money Concept,4,1476,keyword,the United States to sell the idea of a regular income tax.,2
Money Concept,4,1483,keyword,"Once government got a taste of money, its appetite grew, said rich",2
Money Concept,4,1485,keyword,He gets paid to spend money and hire people.,2
Money Concept,4,1489,keyword,"people I hire and the less money I spend, the more I am respected by my",2
Financial Lesson Explanation,4,1491,Advice / Principle,My educated dad sincerely believed that government should help,5
Financial Lesson Explanation,4,1500,Advice / Principle,My rich dad did not see rich were greedy crooks who should be,5
Financial Lesson Explanation,4,1505,Cause–Effect Explanation,"As I said, the passage of taxes was only possible because the",5
Money Concept,4,1507,keyword,appetite for money was so great that taxes soon needed to be levied on,2
Financial Lesson Explanation,4,1509,Cause–Effect Explanation,"However, the rich saw an opportunity because they dont play by",5
Assets vs Liabilities,4,1510,keyword,as a vehicle to limit their risk to the assets of each voyage.,3
Money Concept,4,1511,keyword,their money into a corporation to finance the voyage.,2
Money Concept,4,1514,keyword,be limited only to the money they invested for that particular voyage.,2
Money Concept,4,1516,keyword,outside your personal income statement and balance sheet.,2
Financial Lesson Explanation,4,1525,Cause–Effect Explanation,The rich outsmarted the intellectuals solely because they understood,5
Money Concept,4,1526,keyword,"the power of money, a subject not taught in schools.",2
Money Concept,4,1530,keyword,"The government received a large pool of money,",2
Money Concept,4,1531,keyword,but the problem was the fiscal management of that money.,2
Money Concept,4,1532,keyword,government ideal is to avoid having excess money.,2
Money Concept,4,1534,keyword,"other hand, are rewarded for having excess money and are applauded for",2
Money Concept,4,1536,keyword,"the demand for money increased, and the taxtherich idea was adjusted",2
Wealth Creation,4,1546,keyword,wealth of the rich was once again protected.,4
Money Concept,4,1560,keyword,"They have the money, power, and intent to change",2
Financial Lesson Explanation,4,1566,Cause–Effect Explanation,who find them because they are minding their own business.,5
Investment Advice,4,1570,keyword,Real estate is one investment vehicle that has a great,3
Wealth Creation,4,1572,keyword,of these legal tax savings are missing a great opportunity to build their,4
Financial Lesson Explanation,4,1576,Cause–Effect Explanation,"of people who pay more taxes, or take fewer deductions, simply because",5
Money Concept,4,1585,keyword,"If you work for money, that requires the right knowledge to",2
Money Concept,4,1589,keyword,"The first lesson of having money work for you, as",2
Money Concept,4,1590,keyword,"opposed to you working for money, is all about power.",2
Money Concept,4,1591,keyword,"money, you give the power to your employer.",2
Money Concept,4,1592,keyword,Once we had this knowledge of the power of money working,2
Financial Lesson Explanation,4,1599,Cause–Effect Explanation,He knew the law because he was a lawabiding citizen and,5
Financial Lesson Explanation,4,1600,Cause–Effect Explanation,because it was expensive to not know the law.,5
Money Concept,4,1617,keyword,"I was making a lot of money, but every time I",2
Assets vs Liabilities,4,1622,keyword,"a few assets in my asset column, but now I was determined to focus",3
Assets vs Liabilities,4,1626,keyword,business and developing assets made me a better employee because,3
Financial Lesson Explanation,4,1626,Cause–Effect Explanation,business and developing assets made me a better employee because,5
Money Concept,4,1628,keyword,as much money as possible so I could invest in real estate.,2
Investment Advice,4,1628,keyword,as much money as possible so I could invest in real estate.,3
Money Concept,4,1631,keyword,"The more I sold, the more money I made",2
Assets vs Liabilities,4,1637,keyword,I was making in my asset column in my own corporation was,3
Money Concept,4,1638,keyword,"money working for me, not me pounding on doors selling copiers.",2
Money Concept,4,1642,keyword,My money was working hard to make more money.,2
Assets vs Liabilities,4,1643,keyword,"in my asset column was a great employee, working hard to make",3
Financial Lesson Explanation,4,1647,Cause–Effect Explanation,It was made possible because of the strong financial knowledge I,5
Wealth Creation,4,1653,keyword,This is a vital skill if you want to build an empire.,4
Money Concept,4,1654,keyword,"money you are responsible for, the more accuracy is required,",2
Money Concept,4,1657,keyword,Investing is the science of money making money.,2
Financial Lesson Explanation,4,1660,Advice / Principle,"You need to know the technical aspects of the market, which are",5
Wealth Creation,4,1675,keyword,The rich hide much of their wealth using,4
Assets vs Liabilities,4,1684,keyword,"But I will say that if you own any kind of legitimate assets,",3
Wealth Creation,4,1692,keyword,"wealth, it is the combination of these skills that will greatly amplify",4
Financial Lesson Explanation,5,1699,Cause–Effect Explanation,pains because the demand for his new invention was so strong.,5
Investment Advice,5,1753,keyword,One afternoon I was teaching how to invest using a board game,3
Money Concept,5,1754,keyword,"I had invented, CASHFLOW, as a teaching tool.",2
Money Concept,5,1756,keyword,The game was designed to help people learn how money works.,2
Money Concept,5,1757,keyword,"In playing the game, they learn about the interaction of the income",2
Money Concept,5,1758,keyword,You can play CASHFLOW They learn how cash flows between,2
Wealth Creation,5,1759,keyword,the two and how the road to wealth,4
Money Concept,5,1766,keyword,"income statement and balance sheet, she got frustrated because she",2
Financial Lesson Explanation,5,1766,Cause–Effect Explanation,"income statement and balance sheet, she got frustrated because she",5
Money Concept,5,1768,keyword,"continued explaining the relationship between the income statement,",2
Financial Lesson Explanation,5,1781,Advice / Principle,as reflecting back to them what they know and what they need to learn.,5
Money Concept,5,1790,keyword,She realized that her anger at doing the numbersthe income,2
Money Concept,5,1794,keyword,"years of their marriage, he had hidden money from her.",2
Money Concept,5,1795,keyword,"at herself for not being more aware of where the money was going, as",2
Financial Lesson Explanation,5,1799,Advice / Principle,"not long ago, I complained to my wife that the cleaners must have",5
Money Concept,5,1802,keyword,The CASHFLOW game was designed to give every player personal,2
Wealth Creation,5,1805,keyword,the purpose of the game to teach players to think and create new and,4
Money Concept,5,1810,keyword,"Play CASHFLOW Classic gain lots of money in the game, but",2
Money Concept,5,1812,keyword,have a lot of money and do not,2
Money Concept,5,1822,keyword,I have watched people playing CASHFLOW complain that the right,2
Money Concept,5,1824,keyword,gotten out of the Rat Race if they had had more money.,2
Money Concept,5,1828,keyword,"money, the time is right, they have the card, but they cant see the",2
Money Concept,5,1835,keyword,"and you have no money and the bank wont talk to you, what else can",2
Financial Lesson Explanation,5,1842,Cause–Effect Explanation,Because you want to be the kind of person who creates your own luck.,5
Money Concept,5,1845,keyword,"create money instead of working hard, then your financial intelligence",2
Wealth Creation,5,1845,keyword,"create money instead of working hard, then your financial intelligence",4
Money Concept,5,1851,keyword,came to the secret of money on that first day we got together and began,2
Money Concept,5,1852,keyword,"think money is, the harder you will work for it.",2
Money Concept,5,1853,keyword,"that money is not real, you will grow richer faster.",2
Wealth Creation,5,1853,keyword,"that money is not real, you will grow richer faster.",4
Money Concept,5,1855,keyword,What is money if it is not real?,2
Assets vs Liabilities,5,1857,keyword,The single most powerful asset we all have is our mind.,3
Wealth Creation,5,1858,keyword,"trained well, it can create enormous wealth seemingly instantaneously.",4
Wealth Creation,5,1859,keyword,An untrained mind can also create extreme poverty that can crush a,4
Money Concept,5,1860,keyword,"In the Information Age, money is increasing exponentially.",2
Assets vs Liabilities,5,1862,keyword,"powerful asset we all for a living, they see it done all the",3
Money Concept,5,1867,keyword,I do it because I want to make money fast.,2
Financial Lesson Explanation,5,1867,Cause–Effect Explanation,I do it because I want to make money fast.,5
Financial Lesson Explanation,5,1868,Cause–Effect Explanation,financial IQ because I want to participate in the fastest game and,5
Investment Advice,5,1872,keyword,"That is why I invest in my financial intelligence, developing the most",3
Money Concept,5,1875,keyword,I will give you a simple example of creating money.,2
Money Concept,5,1879,keyword,"Well, putting money away every month is a sound idea.",2
Money Concept,5,1881,keyword,opportunities for much more significant growth of their money.,2
Financial Lesson Explanation,5,1884,Cause–Effect Explanation,"Because people were giving properties away, I was buying.",5
Money Concept,5,1893,keyword,"advertising a 75,000 house for only 60,000 and no money down.",2
Money Concept,5,1900,keyword,"The 40,000 was created from money in my asset column",2
Assets vs Liabilities,5,1900,keyword,"The 40,000 was created from money in my asset column",3
Wealth Creation,5,1905,keyword,"in larger properties and the stock market, we were able to create more",4
Assets vs Liabilities,5,1906,keyword,"than 190,000 in assets notes at 10 percent interest in those six buy,",3
Money Concept,5,1907,keyword,"a year income, much of it sheltered through our private corporation.",2
Money Concept,5,1910,keyword,"government gets a chance to tax that income, its been spent on legally",2
Money Concept,5,1911,keyword,"This was a simple example of how money is invented, created, and",2
Money Concept,5,1913,keyword,bank pay you 10 percent interest on your money?,2
Money Concept,5,1916,keyword,"30 years is a little over 500,000 in income.",2
Money Concept,5,1922,keyword,Its an example of no money making a lot of money.,2
Money Concept,5,1925,keyword,be if I got paid money to make money?,2
Money Concept,5,1927,keyword,"saving 100 a month, which actually starts out as 150 because its aftertax income for 40 years earning low interest.",2
Financial Lesson Explanation,5,1927,Cause–Effect Explanation,"saving 100 a month, which actually starts out as 150 because its aftertax income for 40 years earning low interest.",5
Assets vs Liabilities,5,1931,keyword,"asset, my time, to go out looking for them.",3
Assets vs Liabilities,5,1932,keyword,to move on and look for other opportunities to put in the asset column.,3
Financial Lesson Explanation,5,1935,Cause–Effect Explanation,I have no roofs to fix or toilets to unplug because the,5
Financial Lesson Explanation,5,1936,Cause–Effect Explanation,"And that is wonderful because there are late fees, or they move out and",5
Money Concept,5,1939,keyword,"create hundreds of thousands of dollars, with little money and low risk.",2
Wealth Creation,5,1939,keyword,"create hundreds of thousands of dollars, with little money and low risk.",4
Money Concept,5,1940,keyword,It is an example of money being only an agreement.,2
Assets vs Liabilities,5,1943,keyword,"in the asset column, and no taxes were paid.",3
Assets vs Liabilities,5,1946,keyword,Harness the power of your brain and the asset column.,3
Investment Advice,5,1951,keyword,I know the above investment strategy is a small one.,3
Wealth Creation,5,1952,keyword,to illustrate how small can grow into big.,4
Wealth Creation,5,1957,keyword,This is a vital skill if you want to build,4
Money Concept,5,1958,keyword,Investing is the science of money making money.,2
Wealth Creation,5,1964,keyword,"that is needed to be successful in the pursuit of wealth, whether it be",4
Assets vs Liabilities,5,1970,keyword,the asset column and will probably begin selling.,3
Financial Lesson Explanation,5,1972,Advice / Principle,I need to call my accountant to be prepared for,5
Financial Lesson Explanation,5,1979,Cause–Effect Explanation,it because I know there are changes coming.,5
Financial Lesson Explanation,5,1981,Cause–Effect Explanation,"I want to continually develop my financial intelligence because,",5
Financial Lesson Explanation,5,1986,Cause–Effect Explanation,I hesitate using many more examples of personal investments because,5
Financial Lesson Explanation,5,1989,Cause–Effect Explanation,examples because I want you to know that it is easy.,5
Financial Lesson Explanation,5,1996,Advice / Principle,sense are all you need to do well financially.,5
Wealth Creation,5,1998,keyword,To show that anyone can achieve great wealth.,4
Money Concept,5,2017,keyword,"California investors, flush with money from their still",2
Money Concept,5,2022,keyword,"exchange, and I went shopping for a place to put my money.",2
Wealth Creation,5,2033,keyword,The point of this example is how a small amount can grow into,4
Investment Advice,5,2035,keyword,"statements, investment strategies, a sense of the market, and the laws.",3
Financial Lesson Explanation,5,2036,Advice / Principle,"If people are not versed in these subjects, then obviously they must",5
Money Concept,5,2051,keyword,more money I make simply because I gain experience and wisdom as,2
Financial Lesson Explanation,5,2051,Cause–Effect Explanation,more money I make simply because I gain experience and wisdom as,5
Assets vs Liabilities,5,2054,keyword,My overall philosophy is to plant seeds inside my asset column,3
Investment Advice,5,2056,keyword,"It is our own REIT, or real estate investment trust.",3
Money Concept,5,2062,keyword,specifically with investors like us who have extra money each month,2
Money Concept,5,2072,keyword,if youre just throwing money into a deal and praying.,2
Investment Advice,5,2077,keyword,primary reason I constantly encourage people to invest more in their,3
Financial Lesson Explanation,5,2106,Cause–Effect Explanation,Most people never get wealthy simply because they,5
Financial Lesson Explanation,5,2116,Cause–Effect Explanation,people are not rich is because they are terrified of losing.,5
Money Concept,5,2117,keyword,I look at money much like my game of tennis.,2
Financial Lesson Explanation,5,2133,Cause–Effect Explanation,"put the pieces together, because that is where the huge wins reside, and",5
Financial Lesson Explanation,5,2135,Advice / Principle,"If you want to be the second type of investor, you need to develop",5
Money Concept,5,2141,keyword,"Its not a lot of money, but it sure beats",2
Money Concept,5,2144,keyword,"of raising money, more than the houses themselves, that",2
Money Concept,5,2146,keyword,"money, or I dont have the money to buy it.",2
Financial Lesson Explanation,5,2147,Advice / Principle,"be a typetwo investor, you need to learn how to do that which",5
Money Concept,5,2149,keyword,lack of money stop them from making a deal.,2
Wealth Creation,5,2163,keyword,It is what you know that is your greatest wealth.,4
Financial Lesson Explanation,6,2183,Advice / Principle,Are you saying I should go to school to learn to sell?,5
Financial Lesson Explanation,6,2188,Advice / Principle,I would not have to be a sales person.,5
Financial Lesson Explanation,6,2189,Advice / Principle,So tell me why I should study sales?,5
Money Concept,6,2207,keyword,and master one more skill and their income would jump exponentially.,2
Money Concept,6,2209,keyword,technical skills and making money with money is easier than most,2
Money Concept,6,2210,keyword,"When it comes to money, the only skill most",2
Financial Lesson Explanation,6,2222,Cause–Effect Explanation,because we knew it would get tons of publicity.,5
Money Concept,6,2235,keyword,"specialization that is, in order to make more money or get promoted,",2
Financial Lesson Explanation,6,2255,Advice / Principle,dad emphasized that I should stay in the Pacific instead of taking ships,5
Financial Lesson Explanation,6,2256,Cause–Effect Explanation,"to Europe because he knew that the emerging nations were in Asia, not",5
Financial Lesson Explanation,6,2265,Advice / Principle,"what you need to learn next, he said.",5
Investment Advice,6,2283,keyword,investment company invests in South American countries and Asian,3
Financial Lesson Explanation,6,2287,Cause–Effect Explanation,"Because school does not think financial intelligence is an intelligence,",5
Money Concept,6,2322,keyword,"have corner offices will be able to expect in the way of pension income,",2
Money Concept,6,2325,keyword,"enough money to live on when theyre older, they can always blow",2
Financial Lesson Explanation,6,2329,Advice / Principle,"need to make tough decisions such as, Who will live, and who will",5
Money Concept,6,2330,keyword,They make those decisions purely on how much money they,2
Money Concept,6,2336,keyword,"When I speak to adults who want to earn more money, I always",2
Money Concept,6,2338,keyword,"Instead of simply working for the money and security, which I admit",2
Financial Lesson Explanation,6,2348,Cause–Effect Explanation,"I say, Im not interested in going to the gym, but I go because I want",5
Financial Lesson Explanation,6,2363,Cause–Effect Explanation,"Personally, I take no sides because I can see the need for and",5
Financial Lesson Explanation,6,2374,Cause–Effect Explanation,protection of their union because their skills are also of limited value,5
Money Concept,6,2377,keyword,"hamburger, how come McDonalds makes more money than you?",2
Financial Lesson Explanation,6,2379,Cause–Effect Explanation,The reason so many talented people are poor is because they,5
Wealth Creation,6,2388,keyword,This is a common case of someone who can build a beautiful,4
Financial Lesson Explanation,6,2394,Cause–Effect Explanation,"because of what they know, but because of what they do not know.",5
Financial Lesson Explanation,6,2435,Cause–Effect Explanation,They earn that much because they have specialized,5
Financial Lesson Explanation,6,2448,Advice / Principle,need to be good teachers as well as good students.,5
Financial Lesson Explanation,6,2449,Advice / Principle,we need to be able to give as well as to receive.,5
Financial Lesson Explanation,6,2451,Cause–Effect Explanation,I know many people who are poor because they are neither good,5
Money Concept,6,2454,keyword,My rich dad gave lots of money away.,2
Money Concept,6,2455,keyword,Giving money is the secret to most great,2
Wealth Creation,6,2457,keyword,"to take their wealth and increase it, as well as give it away in perpetuity.",4
Money Concept,6,2458,keyword,"My educated dad always said, When I have some extra money,",2
Money Concept,6,2460,keyword,"worked harder to draw more money in, rather than focus on the most",2
Money Concept,6,2461,keyword,"important law of money Give, and you shall receive.",2
Money Concept,6,2462,keyword,capitalist who loves the game of money making money.,2
Assets vs Liabilities,7,2468,keyword,abundant asset columns that could produce a large cash flow.,3
Money Concept,7,2469,keyword,I have never met anyone who really likes losing money.,2
Money Concept,7,2470,keyword,"my years, I have never met a rich person who has never lost money.",2
Money Concept,7,2478,keyword,"money was this little rhyme If you hate risk and worry, start early.",2
Money Concept,7,2483,keyword,money left over to buy much of Los Angeles.,2
Money Concept,7,2485,keyword,How do you handle the fear of losing money?,2
Financial Lesson Explanation,7,2486,Rich vs Poor Comparison,"My rich dad, on the other hand, recommended that I think",5
Money Concept,7,2491,keyword,"like roaches when it comes to money, terrified that someone will shine",2
Financial Lesson Explanation,7,2497,Cause–Effect Explanation,of financial success was because most people played it too safe.,5
Money Concept,7,2505,keyword,And Ive never met someone rich who has never lost money.,2
Financial Lesson Explanation,7,2506,Cause–Effect Explanation,"So for most people, the reason they dont win financially is because",5
Money Concept,7,2507,keyword,the pain of losing money is far greater than the joy of being rich.,2
Financial Lesson Explanation,7,2511,Cause–Effect Explanation,financially is because stories about his trips to Texas.,5
Money Concept,7,2512,keyword,the pain of losing money really want to learn the attitude of how,2
Money Concept,7,2543,keyword,people are so afraid of losing money that they lose.,2
Financial Lesson Explanation,7,2547,Cause–Effect Explanation,financially is because they play not to lose.,5
Investment Advice,7,2554,keyword,and balanced on your investment portfolio is not the way successful,3
Money Concept,7,2555,keyword,If you have little money and you want to,2
Financial Lesson Explanation,7,2556,Advice / Principle,"be rich, you must first be focused, not balanced.",5
Financial Lesson Explanation,7,2562,Advice / Principle,"If you have any desire to be rich, you must focus.",5
Financial Lesson Explanation,7,2566,Cause–Effect Explanation,accumulating your nest egg early because it will take time.,5
Financial Lesson Explanation,7,2569,Advice / Principle,"If failure inspires you to win, maybe you should go for itbut",5
Financial Lesson Explanation,7,2574,Cause–Effect Explanation,"I say all this, mentioning Texas and Fran Tarkenton, because",5
Assets vs Liabilities,7,2575,keyword,your asset column is a game in which attitude plays a major role.,3
Money Concept,7,2582,keyword,What if I lose control and I cant pay the money back?,2
Financial Lesson Explanation,7,2590,Definition / Explanation,Peter Lynch of Fidelity Magellan mutualfund fame refers to,5
Money Concept,7,2596,keyword,If they had invested that money wisely in,2
Financial Lesson Explanation,7,2601,Cause–Effect Explanation,"Most people are poor because, when it comes to investing, the",5
Assets vs Liabilities,7,2623,keyword,"In another example, I hold a small portion of my assets in",3
Money Concept,7,2625,keyword,"money, which certainly beats the interest rates banks offer on CDs.",2
Money Concept,7,2628,keyword,Almost every time I tell someone that I hold my money,2
Money Concept,7,2629,keyword,"this way, especially if they have money in CDs, they will tell me its",2
Financial Lesson Explanation,7,2630,Advice / Principle,They tell me why I should not do it.,5
Investment Advice,7,2631,keyword,"they get their information, they say from a friend or an investment",3
Investment Advice,7,2641,keyword,Real estate is a powerful investment tool for anyone seeking,3
Financial Lesson Explanation,7,2648,Cause–Effect Explanation,"Because I, too, do not want to fix toilets, I shop hard for a property",5
Financial Lesson Explanation,7,2651,Advice / Principle,estate since I dont have to fix toilets.,5
Financial Lesson Explanation,7,2656,Cause–Effect Explanation,"Because I do not want to fix toilets either, I figured out",5
Investment Advice,7,2659,keyword,deny themselves the use of this powerful investment vehicle.,3
Money Concept,7,2662,keyword,They dont make money because they choose to not lose,2
Financial Lesson Explanation,7,2662,Cause–Effect Explanation,They dont make money because they choose to not lose,5
Financial Lesson Explanation,7,2675,Cause–Effect Explanation,"smiled because, a month earlier, that little oil company hit oil and",5
Financial Lesson Explanation,7,2683,Advice / Principle,"than what they do want, I know the noise in their head must be loud.",5
Financial Lesson Explanation,7,2708,Cause–Effect Explanation,Im buying this for you because I never had this advantage,5
Financial Lesson Explanation,7,2719,Advice / Principle,"spirit is angry, and your lazy mind must defend its lie.",5
Financial Lesson Explanation,7,2741,Cause–Effect Explanation,We go to school and study hard because we want,5
